 ,0.667,2.252,,5,,,
782,0.09,0.197,,,,499,0.141
783,0.086,0.19,,,,500,0.15
784,0.097,0.191,,,,501,0.152
785,0.095,0.192,,,,502,0.147
786,0.088,0.169,,,,503,0.163
787,0.091,0.195,,,,504,0.161
788,0.094,0.201,,,,505,0.187
789,0.077,0.168,,,,506,0.154
790,0.104,0.185,,,,507,0.18
791,0.071,0.18,,,,508,0.2
792,0.104,0.189,,,,509,0.168
793,0.074,0.199,,,,510,0.182
794,0.095,0.176,,,,511,0.199
795,0.086,0.16,,,,512,0.184
796,0.088,0.179,,,,513,0.214
797,0.098,0.17,,,,514,0.203
798,0.09,0.159,,,,515,0.218
799,0.073,0.161,,,,516,0.213
800,0.064,0.153,,,,517,0.226
,,,,,,518,0.234
,,,,,,519,0.255
,,,,,,520,0.23
,,,,,,521,0.265
,,,,,,522,0.259
,,,,,,523,0.26
,,,,,,524,0.269
,,,,,,525,0.269
,,,,,,526,0.296
,,,,,,527,0.295
,,,,,,528,0.308
,,,,,,529,0.311
,,,,,,530,0.337
,,,,,,531,0.309
,,,,,,532,0.337
,,,,,,533,0.333
,,,,,,534,0.354
,,,,,,535,0.379
,,,,,,536,0.374
,,,,,,537,0.381
,,,,,,538,0.397
,,,,,,539,0.411
,,,,,,540,0.429
,,,,,,541,0.432
,,,,,,542,0.44
,,,,,,543,0.484
,,,,,,544,0.481
,,,,,,545,0.499
,,,,,,546,0.513
,,,,,,547,0.53
,,,,,,548,0.552
,,,,,,549,0.566
,,,,,,550,0.591
,,,,,,551,0.603
,,,,,,552,0.644
,,,,,,553,0.642
,,,,,,554,0.673
,,,,,,555,0.712
,,,,,,556,0.755
,,,,,,557,0.759
,,,,,,558,0.803
,,,,,,559,0.819
,,,,,,560,0.851
,,,,,,561,0.878
,,,,,,562,0.912
,,,,,,563,0.95
,,,,,,564,0.973
,,,,,,565,1.046
,,,,,,566,1.059
,,,,,,567,1.102
,,,,,,568,1.136
,,,,,,569,1.171
,,,,,,570,1.212
,,,,,,571,1.284
,,,,,,572,1.298
,,,,,,573,1.341
,,,,,,574,1.38
,,,,,,575,1.399
,,,,,,576,1.466
,,,,,,577,1.48
,,,,,,578,1.531
,,,,,,579,1.548
,,,,,,580,1.632
,,,,,,581,1.629
,,,,,,582,1.702
,,,,,,583,1.695
,,,,,,584,1.828
,,,,,,585,1.807
,,,,,,586,1.896
,,,,,,587,1.91
,,,,,,588,1.974
,,,,,,589,2.028
,,,,,,590,2.056
,,,,,,591,2.105
,,,,,,592,2.159
,,,,,,593,2.18
,,,,,,594,2.282
,,,,,,595,2.313
,,,,,,596,2.203
,,,,,,597,2.331
,,,,,,598,2.262
,,,,,,599,2.251
,,,,,,600,2.442
,,,,,,601,2.397
,,,,,,602,2.462
,,,,,,603,2.779
,,,,,,604,2.445
,,,,,,605,2.285
,,,,,,606,2.568
,,,,,,607,2.667
,,,,,,608,2.513
,,,,,,609,2.66
,,,,,,610,2.617
,,,,,,611,2.577
,,,,,,612,2.653
,,,,,,613,2.651
,,,,,,614,2.477
,,,,,,615,2.751
,,,,,,616,2.512
,,,,,,617,2.574
,,,,,,618,2.464
,,,,,,619,2.446
,,,,,,620,2.347
,,,,,,621,2.458
,,,,,,622,2.448
,,,,,,623,2.33
,,,,,,624,2.441
,,,,,,625,2.566
,,,,,,626,2.427
,,,,,,627,2.314
,,,,,,628,2.262
,,,,,,629,2.273
,,,,,,630,2.17
,,,,,,631,2.177
,,,,,,632,2.165
,,,,,,633,2.111
,,,,,,634,2.071
,,,,,,635,2.068
,,,,,,636,2.034
,,,,,,637,2.026
,,,,,,638,1.961
,,,,,,639,1.957
,,,,,,640,1.888
,,,,,,641,1.826
,,,,,,642,1.816
,,,,,,643,1.792
,,,,,,644,1.73
,,,,,,645,1.74
,,,,,,646,1.699
,,,,,,647,1.665
,,,,,,648,1.643
,,,,,,649,1.63
,,,,,,650,1.581
,,,,,,651,1.577
,,,,,,652,1.525
,,,,,,653,1.534
,,,,,,654,1.508
,,,,,,655,1.48
,,,,,,656,1.458
,,,,,,657,1.475
,,,,,,658,1.446
,,,,,,659,1.429
,,,,,,660,1.439
,,,,,,661,1.425
,,,,,,662,1.433
,,,,,,663,1.421
,,,,,,664,1.386
,,,,,,665,1.338
,,,,,,666,1.335
,,,,,,667,1.332
,,,,,,668,1.317
,,,,,,669,1.299
,,,,,,670,1.279
,,,,,,671,1.25
,,,,,,672,1.205
,,,,,,673,1.209
,,,,,,674,1.16
,,,,,,675,1.16
,,,,,,676,1.112
,,,,,,677,1.066
,,,,,,678,1.038
,,,,,,679,1.047
,,,,,,680,1
,,,,,,681,0.99
,,,,,,682,0.945
,,,,,,683,0.897
,,,,,,684,0.867
,,,,,,685,0.871
,,,,,,686,0.847
,,,,,,687,0.829
,,,,,,688,0.783
,,,,,,689,0.759
,,,,,,690,0.75
,,,,,,691,0.735
,,,,,,692,0.689
,,,,,,693,0.695
,,,,,,694,0.651
,,,,,,695,0.639
,,,,,,696,0.633
,,,,,,697,0.614
,,,,,,698,0.592
,,,,,,699,0.57
,,,,,,700,0.563
,,,,,,701,0.545
,,,,,,702,0.53
,,,,,,703,0.521
,,,,,,704,0.519
,,,,,,705,0.49
,,,,,,706,0.452
,,,,,,707,0.477
,,,,,,708,0.443
,,,,,,709,0.424
,,,,,,710,0.4
,,,,,,711,0.42
,,,,,,712,0.399
,,,,,,713,0.396
,,,,,,714,0.387
,,,,,,715,0.375
,,,,,,716,0.362
,,,,,,717,0.356
,,,,,,718,0.344
,,,,,,719,0.348
,,,,,,720,0.308
,,,,,,721,0.317
,,,,,,722,0.304
,,,,,,723,0.293
,,,,,,724,0.277
,,,,,,725,0.284
,,,,,,726,0.271
,,,,,,727,0.246
,,,,,,728,0.258
,,,,,,729,0.237
,,,,,,730,0.256
,,,,,,731,0.23
,,,,,,732,0.221
,,,,,,733,0.22
,,,,,,734,0.175
,,,,,,735,0.225
,,,,,,736,0.217
,,,,,,737,0.24
,,,,,,738,0.221
,,,,,,739,0.21
,,,,,,740,0.214
,,,,,,741,0.205
,,,,,,742,0.202
,,,,,,743,0.17
,,,,,,744,0.184
,,,,,,745,0.181
,,,,,,746,0.2
,,,,,,747,0.171
,,,,,,748,0.167
,,,,,,749,0.139
,,,,,,750,0.165
,,,,,,751,0.165
,,,,,,752,0.163
,,,,,,753,0.14
,,,,,,754,0.132
,,,,,,755,0.178
,,,,,,756,0.147
,,,,,,757,0.163
,,,,,,758,0.138
,,,,,,759,0.16
,,,,,,760,0.144
,,,,,,761,0.155
,,,,,,762,0.151
